K	L	M
16.98	22.23	21.4
19.28	24.92	16.37
15.67	27.74	21.84
24.6	23.56	19.53
26.66	19.48	23.99
23.26	23.32	18.6
28.45	20.45	21.45
15.03	15.53	16.34
26.29	26.46	22.69
19.19	27.12	17.05
19.97	28.12	20.09
16.59	12.58	21.62
32.53	22.06	27.45
16.31	24.1	22
19.55	27.7	23.66
28.2	18.12	11.16
26.82	24.44	21.15
16.82	11.61	18.84
15.01	13.89	11.19
20.08	27.38	15.33
28.64	22.21	19.92
17.83	11.62	23.95
35.62	17.44	4.6
19.81	18.07	12.58
22.45	16.7	25.85
25.42	18.01	11.56
19.6	24.22	27.66
14.89	30.24	15.53
14.93	26.58	13.28
24.52	18.58	23.72
14.97	19.79	19.26
31.11	18.12	23.49
17.53	34.84	25.03
21.39	24.51	17.93
37.83	30.38	19.5
21.85	26.23	16.24
22.16	14.69	23.73
17.9	16.43	24.33
16.04	28.93	25.74
14.78	19.93	9.36
20.79	17.84	8.87
18.95	30.11	19.71
27.7	14.68	17.7
22.71	27.53	7.26
34.29	13.81	27.58
20.15	28.27	15.79
20.37	21.72	22.07
19.32	36.02	11.1
13.58	22.19	23.14
25.09	31.94	21.06
19.86	19.05	22.79
17.51	16.5	28.36
37.39	17.96	26.51
21.57	16.8	13.37
19.47	29.67	17.51
15.55	20.03	19.18
22.17	16.82	20.61
18.33	16.04	12.32
14.76	24.88	20.62
22.76	29.79	21.81
17.57	8.98	15.28
20.85	31.96	22.77
19.03	23.57	20.44
17.04	31.18	27.19
20.95	22.45	10.06
16.5	25.59	34.38
21.55	20.24	27.74
24.48	21.49	14.09
33.74	19.28	24.53
15.21	27.05	24.03
31.64	29.46	22.52
19.71	24.85	18.61
20.02	26.54	26.92
19.78	14.72	33.34
22.56	12.57	23.48
19.32	21.07	22.06
27.34	26.11	17.05
21	21.13	22.73
22.85	22.66	19.71
14.5	23.66	20.67
15.79	24.43	27.98
17.22	21.51	14.82
15.81	26.27	29.04
24	22.45	13.37
17.46	23.65	16.8
28.09	26.48	23.71
19.74	17.11	15.22
14.95	27.89	24.62
15.6	15.79	23.37
26.59	17.13	28.22
21.45	17.25	31.26
19.09	27.99	26.23
16.16	19.83	14.13
34.96	17.56	24.69
25.87	19.57	26.35
13.67	33.24	20.95
23.4	18.65	25.69
22.07	20.31	20.23
20.33	14.45	26.97
18	8.87	25.49
16.84	29.51	28.93
17.89	28.89	30.29
23.41	20.62	15.06
16.52	13.91	18.48
15.92	26.38	24.03
21.94	19.83	12.55
17.87	11.49	23.02
20.9	31.02	25.21
15.48	24.52	26.14
31.1	17.44	23.68
14.51	22.36	21.68
20.32	20.76	5.51
18.55	15.33	17.92
21.99	27.85	22.67
16.79	27.85	21.44
18.53	21.87	18.25
14.6	17.35	25.51
15.26	20.8	28.96
22.8	21.46	25.07
19.72	20.07	22.05
24.15	11.21	9.69
16.46	31.08	32
27.01	29.45	33.23
22.23	23.09	27.1
20.58	23.39	24.42
28.65	27.66	27.61
20.51	34.97	5.66
20.41	18.26	23.33
15.49	10.33	19.94
24.32	21.19	22.43
14.75	25.31	18.97
20.84	18.43	28.86
26.33	10.31	26.86
27.95	33.7	28.49
20.88	25.77	29.81
23.94	25.29	20.35
15.56	23.7	24.41
18.17	17.33	26.19
19.09	15.11	18.28
14.09	24.74	16.32
19.32	17.9	13.34
24.69	14.72	16.93
16.15	15.1	17.38
22.31	16.25	24.59
25.68	19.01	27.36
14.98	27.03	26.18
14.18	24.11	16.86
22.64	17.91	22.26
31.55	25.4	20.09
21.97	15.93	27.92
36.32	21.58	5.8
25.88	20.03	24.06
17.33	28.38	25.1
26.93	22.19	20.99
29.11	28	23.35
16.97	13.34	15.47
15.61	19.79	24.41
20.63	26.93	19.72
14.77	26.38	28.17
20.15	16.7	18.33
17.9	21.53	34.42
37.72	25.68	31.13
15.73	17.1	29.52
26.19	23.37	22.91
20.83	26.56	15.28
21.41	24.45	17.01
17.1	28.76	32.78
16.75	24.21	26.99
15.99	18.38	31.3
15.32	25.74	11.59
27.3	23.69	23.06
29.46	25.52	29.72
30.96	16.43	20.8
35.6	21.29	26.29
25.22	22.6	15.07
25.01	27.95	12.43
15.47	25.64	20.5
17.66	16.95	16.59
27.08	24.76	26.79
21.27	26.43	25.04
24.97	22.14	9.88
16.3	24.24	12.88
14.89	12.76	18.36
14.88	17.98	25.5
35.16	22.47	5.21
19.33	23.08	13.02
24.64	21.28	17.24
26.54	27.89	15.83
19.8	19.28	28.15
27.3	19.04	5.11
14.87	8.68	23.23
17.28	24.6	18.91
24.06	18.27	7.53
26.49	14.89	18.48
14.83	15.6	15.82
25.59	23.12	31.91
16.82	30.26	19.22
19.33	30.92	25.1
18.63	35.24	22.88
26.29	16.95	17.48
14.55	28.25	22.79
25.7	26.59	18.32
15.73	26.18	18.9
25.57	28.08	24.38
21.98	23.76	30.56
21.42	24.38	23.88
24.52	13.47	10.92
16.74	9.47	19.9
19.13	25.99	17.73
34.77	25.51	23.97
23.41	21.9	19.9
20.77	21.67	21.32
26.37	19.09	7.72
19.28	12.19	30.89
22.02	25.2	19.78
27.23	23.74	15.68
23.27	28.48	13.14
19.42	24.81	15.05
18.76	19.61	17.4
17.99	24.35	14.34
18.07	16.69	31.78
19.12	10.4	18.03
22.12	26.23	18.82
30.15	23.37	22.56
17.91	23.85	25.6
16.76	19.78	27.34
17.59	31.73	18.29
26.95	22.87	16.36
19.54	18.53	19.65
36.44	25.41	11.07
33.22	13.69	23.64
36.47	23.06	24.75
26.41	18.64	13.09
19.8	27.88	16.73
25.04	23.64	27.99
15.3	23.47	32.77
21.97	21.25	21.55
14.78	34.07	24.9
14.03	27.65	13.8
29.1	18.25	34.18
15.72	22.39	28.57
21.04	25.26	25.05
21.26	31.02	26.06
25.07	11.27	39.22
16.2	17.09	2.65
13.89	22.03	30.62
21.89	28.53	14.24
18.67	25.2	16.47
23.97	19.85	26.99
14.85	27.81	18.5
13.9	17.11	17.48
24.91	26.93	29.4
18.69	7.21	13.11
23.27	22.57	19.62
21.17	26.79	21.62
14.81	29.01	17.8
18.46	15.57	13.4
22.13	20.62	22.8
55.54	23.26	24.86
22.41	23.92	26.7
20.34	21.96	12.69
27.49	18.26	13.24
21.66	12.22	14.37
15.47	22.88	37.63
15.42	32.25	21.09
23.09	25.18	22.59
17.85	22.28	31.49
17.27	12.94	16.49
14.81	13.86	28.71
17.24	24.49	15.83
27.3	21.89	25.55
26.4	23.52	20.74
21.26	27.46	16.7
16.79	28.89	25.31
17.54	21.38	22.92
14.79	28.47	28.96
31.63	29.68	21.94
20.06	26.72	25.02
27	20.18	16.31
31.8	26.13	25.72
16.98	15.38	18.77
25.21	18.98	21.77
25.51	21.57	22.21
24.85	19.35	17.17
23.66	33.78	20.84
14.33	30.09	23.94
22.04	27.91	23.3
21	30.34	14.18
28.17	14.11	18.89
19.38	25.65	17.57
24.39	16.35	16.78
19.2	30.47	10.62
18.71	23.9	16.66
19.26	28.06	25.52
22.77	12.61	25.48
29.3	21.31	27.28
23.39	20.82	30.92
13.58	31.25	20.88
19.23	28.9	34.29
23.28	29.85	17.62
29.37	19.85	10.75
13.28	16.4	25.02
16.74	27.01	21.97
17.05	17.24	19.64
26.04	19.37	22.38
24.84	13.77	21.86
25.06	32.48	18.71
22.86	30.76	10.96
16.13	19.27	29.67
19.42	16.09	18.71
17.43	23.81	17.91
16.88	19.68	17.73
20.43	22.79	22.21
21.61	27.97	20.12
19.7	23.88	14.99
23.27	25.96	19.26
23.36	27.52	24.16
19.82	14.78	20.04
21.48	39.72	20.96
17.81	24.5	22.66
24.64	27.47	22.61
20.59	18.87	18.82
32.52	29.91	28.7
33.06	21.25	19.21
26.68	25.46	19.64
55.42	17.29	22.47
18.85	22.3	15.01
31.61	16.58	23.69
33.91	35.97	26.47
21.19	24.66	15.49
18.56	21.74	16.28
19.88	20.97	23.82
18.88	31.46	23.49
44.37	16.16	32.37
20.49	23.96	24.94
27.78	22.45	18.58
22.06	8.47	25.85
16.51	16.91	21.81
18.36	26.42	26.77
22.75	16.83	28.39
26.76	23.5	23.83
21.41	23.82	29.03
34.85	13.92	23.82
17.49	17.68	26.8
30.8	15.73	15.3
27.66	18.8	19.29
23.66	33.35	28.5
32.35	24.65	27.97
25.08	18.09	15.62
30.2	25.59	18.61
21.58	14.96	25.27
27.08	21.23	22.63
27.38	29.87	19.68
24.84	19.28	20.61
24.66	11.57	19.96
22.09	24.09	26.65
19.82	29.25	22.68
17.06	22.72	19.56
31.65	23.46	30.22
32.16	15.76	21.8
25.43	30.14	22.56
18.31	25.64	16.13
20.19	33.36	18.59
26.25	23	29.82
16.51	14.49	24.63
20.1	21.31	26.82
14.14	13.1	19.94
19.3	28.81	20.12
15.25	35.44	31.3
19.74	20.18	18.74
16.05	20.23	17.06
20.95	15.26	9.49
18.1	15.94	21.53
17.88	27.4	18.33
16.04	27.22	21.35
17	28.94	15.86
17.49	24.13	21.5
19.97	26.31	16.4
14.84	14.7	13.94
13.53	18.58	30.99
16.77	24.22	19.82
17.7	25.55	26.08
14.97	21.58	14.25
19.84	19.44	15.28
14.85	11.63	21.24
13.4	30.68	19.93
14.39	23.56	10.15
17.36	11.84	8.13
15.55	20.66	17.86
17.78	19.33	14.92
13.96	18.33	30.08
27.4	22.83	21.64
18.82	23.46	27.89
30.16	18.26	21.52
15.72	25.99	20.02
20.67	24.28	20.22
20.95	21.78	11.88
27.14	16.77	26.68
22.88	23.19	30.44
20.61	27.96	29.59
24.16	24.12	21.03
13.58	21.82	22.32
22.47	19.47	31.57
24.83	21.12	20
15.55	20.99	9.28
35.4	18.99	24.56
22.86	17.25	17.42
41.99	13.85	25.1
31.16	22.07	39.6
14.16	22.34	22.08
15	12.51	23.07
22.52	18.72	21.41
16.02	37.17	14.52
25.65	24.45	19.7
30.04	23.52	17.48
18.88	18.19	20.76
23.89	17.38	23.54
23.55	4.46	21.68
17.14	24.5	26.3
20.71	20.04	16.68
14.87	14.67	10.73
23.08	12.06	24.3
26.77	21.29	19.18
16.65	24.23	21.9
17.68	21.34	28.58
28.45	32.88	20.43
27.93	15.73	26.7
28.85	21.45	21.52
38.21	24.97	34.03
20.65	18.83	22.4
14.56	22.39	27.28
22.88	21.16	20.08
18.88	25.33	15.29
15.13	18.07	32.43
19.96	12.5	23.47
25.47	24.06	20.21
21.28	21.66	18.39
20.82	7.48	21.26
27.04	19.85	21.78
17.61	11.86	27.82
21.72	23.13	26.14
40.88	35.18	26.66
50.05	19.37	23.12
16.71	16.69	20.61
19.2	33.59	28.4
28.51	16.85	19.91
23.83	9.62	13.7
15.57	25.8	18.89
17.21	21.02	15.09
17.98	25.19	13.8
16.13	20.05	24.37
35.13	29.83	23.23
15.88	17.88	25.17
17.23	24.45	25.9
38.61	32.99	27.98
39.53	25.59	11.16
32.29	22.58	23.25
27.16	33.71	27.12
18.44	22.57	30.71
18.91	22.16	20.73
15.18	18.71	15.16
15.8	14.15	24.75
21.87	14.57	23.57
20.87	23.75	20.17
27.53	16.68	21.09
31.69	23.94	23.08
21.74	23.24	28.08
21.73	7.91	20.15
21.92	25	24.11
15.59	27.3	26.15
16.09	21.14	19.47
33.53	15.9	19.03
23.27	18.55	17.19
15.81	28.73	20.22
17.07	24.46	1.94
33.78	24.28	26.15
16.59	26.15	20.51
18.19	14.35	14.31
15.5	23.36	16.8
21.62	15.26	12.46
16.65	24.75	32.96
18.88	25.07	21.88
16.5	10.72	26.35
35.01	24.3	25.11
13.8	14.91	29.74
19.07	19.62	18.26
17.2	16.87	19.32
16.88	7.28	31.04
28.86	19.03	20.34
19.88	18.56	29.02
25.47	26.84	22.43
26.32	17.54	12.88
38.04	31.57	17.45
15.43	25.92	10.93
22.34	21.39	8.21
29.41	6.49	27.9
24.83	23.97	6.31
13.79	35.35	17.95
24.1	32.5	19.33
27.21	19.86	26.52
15.13	28.79	14.53
25.52	28.99	15.7
18.01	22.62	13.64
21.52	21.13	19.82
21.55	29.78	31.35
17	30.55	14.87
18.69	19.26	29.96
25.22	22.54	21.91
34.25	22.98	19.53
16.28	19.2	11.15
20.71	22.44	25.19
18.78	21.26	28.51
18.35	20.31	27.5
23.93	24.75	19.59
35.72	22.79	13.24
17.34	24.41	27.75
19.46	26.97	24.68
24.04	32.03	15.64
31.14	24.7	32.64
17.33	20.52	17.08
27.98	18.61	17.73
22.71	15.13	16.64
16.67	18.75	16.52
16.69	30.48	19.79
24.89	25.13	23.46
26.97	15.3	22.55
15.3	24.63	35.15
17.98	12.87	23.19
37.34	24.95	24.78
23.97	34.32	21.34
15.93	26.9	20.56
14.46	29.04	20.56
19.08	26.28	19.36
19.86	13.9	21.45
15.03	18.91	26.27
17.91	32.32	23.92
24.19	30.57	20.65
17.94	17.86	15.19
18.79	26.75	15.08
13.68	19.85	15.22
19.42	24.88	25.48
14.96	27.57	20.3
17.88	24.83	18.88
18.84	28.42	15.76
24.1	28.28	27.62
16.45	29.13	29.57
19.56	24.55	19.6
15.32	18.24	20.76
17.87	22.27	26.17
21.1	23.4	16.79
20.54	21.09	22.24
16.73	11.84	27.81
19.48	15.79	23.25
19.84	24.18	23.41
25.22	26.23	22.41
19.5	18.58	29.53
39.1	24.25	21.17
22.94	29.04	18.78
42.24	26.36	11.54
17.77	25.1	31.75
26.51	23.64	17.2
16.41	10.11	14.48
26.97	26.72	25.99
31.69	30.17	20.83
36.82	19.7	13.24
21.94	18.07	22.34
25.03	21.85	18.75
29.92	20.37	31.42
17.68	16.91	11.38
17	19.08	7.85
27.36	20.56	21.61
24.91	21.6	15.95
20.47	29.99	29.63
18.28	25.87	28.6
15.35	21.46	21.79
24.01	27.03	26.81
31.28	37.15	17.13
22.6	20.05	20.69
17.85	25.41	23.45
25.58	27.95	21.96
30.35	34.5	16.73
22.86	22.56	24.09
23.38	27.6	20.44
17.14	28.68	24.97
17.5	27.97	18.31
17.24	9.79	28.23
18.5	14.48	25.65
19.79	19.44	38.72
23.16	21.03	7.61
14.34	24.17	13.31
16.78	16.6	11.96
30.96	20.71	28.81
18.62	26.59	32.2
15.04	25.43	27.3
36.07	26.11	22.84
15.16	19.25	34.34
20.34	18.01	24.84
26.26	20.15	26.61
29.61	33.42	20.1
22.97	18.56	13.95
13.36	22.27	24.16
40.27	24.01	24.7
25.9	22.38	26.77
18.28	23.6	35.42
29.91	12.09	11.7
23.82	23.58	26.38
18.88	17.54	20.4
23.49	23.26	24.67
28.01	17.3	28.33
25.15	17.96	30.13
27.02	29.41	19.82
21.13	23.44	16.44
24.92	15.91	23.83
27.96	19.13	16.4
20.83	23.88	23.36
27.98	22.54	23.45
26.74	21.49	21.64
27.73	23.25	13.05
16.06	20.23	30.63
26.05	26.34	18.29
15.78	21.55	36.76
21.42	15.68	20.75
23.88	32.91	20.76
36.59	25.42	16.25
15.68	25.41	13.11
14.98	23.48	11.5
25.48	22.7	17.82
24.64	22.46	24.17
15.1	21.87	24.95
29.52	6.57	23.35
16.05	28.83	28.35
15.39	18.35	14.47
18.93	23.3	11.12
26.6	16.74	17.87
16	20.71	27.19
20.23	31.27	26.66
21.57	23.06	25.55
22.17	22.6	25.14
15.86	25.25	27.14
22.58	30.1	23.29
20.65	25.93	23.57
42.91	21.84	31.32
15.85	31.76	24.5
17.13	21.36	17.28
19.98	21.25	26.85
20.37	17.7	31.5
16.51	34	17.37
31.22	18.24	23.55
33.65	24.73	27.65
27.12	27.01	16.29
19.69	27.21	10.14
16.65	28.59	25.63
29.53	27.53	29.78
16.5	16.46	15.93
32.51	25.53	14.27
26.52	15.56	22.81
22.96	26.09	15.14
20.21	14.86	14.89
21.17	27.86	30.86
23.65	30.85	19.84
23.68	24.04	16.57
18.54	24.56	20.71
36.88	31.51	19.95
34.86	26.27	17.48
14.07	18.38	21.23
27.34	21.4	14.33
23.22	22.55	17.03
19.78	26.15	27.46
13.35	18.89	12.53
14.21	32.43	27.3
16.81	15.63	20.63
26.56	20.06	14.73
14.13	29.66	32.43
23.46	13.64	15.96
16.45	26.65	23.82
28.43	18.91	20.1
22.56	30.06	18.64
20.94	25.75	19.51
16.4	17.64	28.35
23.72	19.22	27.17
28.34	9.27	31.6
17.04	21.47	12.98
28.32	28.48	23.72
16.19	22.44	17.76
17.99	20.98	22.47
16.05	21.34	20.53
31.14	22.2	18.31
28.54	23.06	25.28
22.51	18.35	18.32
17.62	25.1	32.27
18.75	15.31	20.45
26.85	13.71	22.51
17.76	18.14	23.79
27.5	25.95	19.73
19.85	17.49	25.16
26.51	20.06	24.85
22.12	17.56	25.69
25.75	28.53	15.3
20.31	24.36	29.3
23.41	16.28	12.63
17.71	24.6	23.34
26.59	21.91	29.51
19.08	16.8	18.94
21.92	20.97	24.99
29.02	14.02	16.19
17.93	27.08	25.72
28.19	22.58	20.97
21.52	16.26	21.14
26.11	18.6	14.9
21.54	20.66	18.74
19.07	16.02	27.27
16.41	20.21	19.86
21.39	22.09	29.84
43.32	24.02	17.78
24.91	25.54	20.75
18.38	25.81	22.11
23.74	20.7	15.44
22.92	32.17	36.43
24.63	19.49	19.63
32.45	21.46	29.49
33.14	22.36	19.46
29.2	19.12	14.78
20.76	19.45	24.7
15.88	15.99	28.13
25.01	12.17	27.46
17.71	23.98	25.96
22.3	18.82	33.81
18.79	10.78	14.51
20.47	18.98	34.68
23.22	19.91	10.59
14.66	21.43	21.72
20.1	27.21	19.43
34.85	33.41	23.69
30.86	23.8	16.82
25.15	28.45	29.5
42.81	16.89	36.58
30.19	19.32	20.56
34.92	24.68	31.33
21.93	6.15	7.64
18.57	28.27	21.53
20.39	27.42	23.09
15.26	15.07	26.74
29.78	21.66	24.08
18.41	23.07	14.41
31.84	21.24	25.67
18.77	25.23	18.18
19.31	30.86	20.68
20.61	17.81	27.75
17.5	8.7	30.12
18.53	16.33	8.19
26.13	17	21
33.19	25.12	24.38
30.09	19.27	20.43
23.72	22.97	19.63
25.8	28.37	31.94
17.23	33.28	25.64
21.04	10.48	22.18
22.73	20.35	19.68
19.47	15.84	29.46
28.98	11.48	23.63
16.91	29.29	13.67
33.56	20.95	25.36
23.31	32.16	11.77
27.9	13.41	26.62
20.33	20.55	19.38
20.48	27.49	16.84
25.9	20.44	9.14
16.21	11.71	19.18
26.86	16.51	20.36
19.41	23.4	21.68
16.64	20.01	30.19
21.57	17.21	28.3
26.49	18.63	33.07
17.68	23.2	13.37
23.06	18.61	22.52
36.01	24.02	27.31
15.14	17.34	34.65
29.85	23.83	28.2
23.26	22.93	25.13
18	28.98	21.86
14.47	16.65	20.18
26.99	17.63	11.39
15.47	22.35	13.14
23.04	23.04	12.82
16.11	22.06	21.47
19.41	17.85	17.2
21.78	22.04	25.33
28.09	28.52	26.61
14.37	19.67	27.59
19.96	24.34	18.48
28.52	28.67	11.94
24.1	17.58	29.83
26.89	26.88	31.58
17.26	12.9	23.88
24.45	10.01	18.25
25.47	30.38	21.06
29.6	16.84	27.95
18.09	10.38	7.13
14.9	19.31	18
21.42	25.96	22.04
16.45	14.66	9.86
24.09	29.62	35.95
24.02	17.62	17.86
20.6	30.94	30.34
21.3	19.13	24.4
14.55	29.83	18.97
20.57	26.72	17.51
14.82	28.7	19.82
30.3	26.89	23.6
14.58	30.34	30.59
21.7	17.24	23.84
18.26	14.84	28.16
17.7	28.66	25.73
14.13	20.04	19.49
16.78	9.39	13.85
21.92	15.82	22.89
22.83	24.89	26.43
25.02	18.83	26.11
24.04	28.01	23.53
17.28	30.57	25.26
27.6	30.99	17.6
25.9	16.21	13.65
26.4	21.94	21.16
37.82	13.48	30.37
22.04	12	2.19
22.69	13.14	35.01
34.25	19.55	20.69
15.66	17.51	18.13
19.47	14.31	27.49
43.72	28.47	27.63
32.15	16.83	33.84
19.45	18.68	15.38
15.13	26.25	28.08
21.39	18.05	18.66
16.11	20.02	20.14
13.25	25.26	24.24
29.92	23.77	28.94
16.01	21.5	28.8
27.47	20.85	27.48
15.83	15.78	19.52
17.12	19.56	29.63
23.27	23.13	32.28
38.78	18.74	16.86
16.01	19.93	30.26
20.27	14.42	17.48
16.38	25.1	19.35
21.42	28.43	20.97
34.78	29.61	16.78
17.57	23.89	26.29
14.87	19.4	26.4
26.32	25.43	26.73
42.77	22.39	15.74
22.63	15.61	10.12
14.45	18.44	30.02
16.71	23.57	16.12
17.61	33.27	18.67
18.57	27.99	28.63
24.98	18.62	17.71
14.37	16.88	18.8
24.47	17.23	19.56
17.37	25.89	27.94
31.82	19.77	18.56
21.65	22.56	24.66
15.2	23.64	33.5
21.52	14.5	31.41
17.07	31.14	16.96
32.34	29.14	17.62
20.26	16.45	16.8
23.28	20.71	13.57
23.81	12.32	16.42
13.13	30.78	15.97
17.02	29.65	12.14
21.45	31.94	31.02
30.02	30.38	29.01
25.53	28.22	22.94
23.1	19.14	26.09
25.97	15.19	24.09
24.74	26.45	21.83
17.8	11	16
15.32	22.29	19.74
22.26	27.39	22.72
18.91	15.78	18.81
19.11	17.56	15.87
21.48	29	23.5
27.97	26.38	33.51
14.31	20.68	32.66
24.66	30.13	18.59
39.68	31.98	27.48
22.2	17.42	17.9
20.36	26.64	18.78
14.94	16.77	21.94
16.15	20.14	24.96
20.79	17.28	22.44
33.77	19.36	12.15
33.67	18.79	14.96
23.91	27.24	21.86
17.58	30.42	28.37
23.44	14.52	18.69
21.38	26.32	16.47
15.3	28.64	28.65
22.53	24.02	19.11
27.46	26.21	20.97
26.76	17.43	23.01
27.4	14.9	19.11
16.87	15.13	29.94
19.65	26.96	20.73
19.72	25.63	22.94
15.46	25.39	36.59
13.35	16.51	12.39
16.52	9.89	25.27
15.39	21.38	23.13
13.68	18.18	15.77
19.07	13.88	15.58
38.52	20.86	16.64
28.43	12.86	17.23
19.69	34.35	14.64
15.28	21.78	17.49
25.61	18.98	26.19
15.02	24.1	26.74
15.85	24.66	23.01
27.96	31.15	19.94
17.86	20.31	29.64
26.9	23.81	22.11
17.71	22.15	29.28
23.87	14.69	26.91
13.07	11.98	31.98
31.87	18.69	21.94
18.9	28.52	26.27
20.05	23.38	11.64
23.44	20.51	24.22
15.49	26.42	23.96
23.05	25.09	21.24
14.03	18.44	17.11
16.57	22.84	27.05
15.79	15.44	15.78
24.31	29.64	14.32
18.63	23.81	19.81
22.68	27.77	19.93
44.35	18.4	10.39
21.66	30.46	5.02
28.98	21.63	22.65
19.49	23.7	17.91
28.71	26.5	24.58
21.81	18.97	14.75
21.65	21.11	30.39
17.81	14.51	17.38
29.53	21.98	22.23
31.92	27.64	15.02
22.87	22.23	20.61
19.38	30.17	17.31
27.54	15.26	27.11
35.97	23.91	20.28
17.1	30.43	17.97
15.74	18.76	24.46
19.92	24.16	14.54
18.93	21.05	19.82
16.44	16.07	25.61
16.21	21.64	26.38
40.43	8.07	26.28
20.87	20.01	16.88
14.72	25.95	12.58
15.04	17.91	23.71
15.72	31.46	17.28
34.67	17.83	29.36
22.52	15.51	21.86
14.62	22.04	18.87
20.87	27.54	20.63
25.64	7.22	13.67
19.45	14.58	18.45
15.22	26.71	20.84
13.14	16.28	23.07
21.11	18.19	18.45
24.3	24.98	22.64
33.98	30.64	14.81
17.33	21.39	29.61
18.3	16.6	29.32
15.96	20.16	24.79
24.46	21.38	29.58
31.46	21.44	24.68
17.05	23.63	24.72
24.37	13.17	20.78
21.19	19.07	31.74
23.66	15.18	28.22
22.37	32.33	13.57
32.17	24.86	19.2
25.45	35.27	24.58
21.99	17.83	16.78
15.74	9.61	19.47
40.54	8.08	16.1
24.65	21.4	16.57
22.44	27.06	23.62
23.88	14.35	28.01
15.67	25.38	31.55
24.95	23.02	27.41
15.14	20.45	19.69
18.43	26.5	10.6
19.95	25.07	28.24
26.41	12.82	-1.24
17.46	18.3	26.51
22.66	24.45	22.74
21.96	26.28	27.35
16.81	20.93	18.74
19.16	13.58	25.16
21.95	6	19.93
19.51	21.55	32.93
23	24.8	18.53
26.43	18.91	15.27
18.58	25.72	25.02
18.22	16.25	9.65
30.05	19.72	14.58
15.15	22.7	17.68
14.18	6.32	21.8
15.07	18.76	23.43
19.79	19.25	30.41
22.13	18.11	27.81
20.96	34.38	18.69
24.43	19.53	11.25
21.43	23.78	19.67
23.86	28.01	11.22
27.26	18.21	16.8
21.4	21.13	24.98
20.22	15.12	24.12
22.94	27.03	22.58
33.08	9.75	17.39
19.87	17.02	17.11
29.88	24.65	4.36
16.6	17.56	23.75
33.05	24.19	22.48
22.11	22.02	22.26
14.62	24.36	13.32
24.5	18.03	30.01
26.31	23.37	31.54
20.08	20.28	29.9
24.78	26.65	29.44
15.79	10.3	18.45
17.55	19.61	21.89
18.18	27.25	20.32
33.55	33.57	25.7
19	22.39	24.66
28.96	24.67	9.18
16.95	25.3	20.42
20.6	34.57	28.21
26.18	25.01	22.5
14.46	33.65	22.64
21.83	19.6	28.71
24.25	22.67	30.65
40.6	11.92	27.99
17.47	21.34	23.52
24.85	16.61	29.55
17.51	20.91	14.98
22.47	20.64	29.18
15.13	23.29	27.89
15.97	24.3	26.78
22.47	26.57	25.58
27.24	23.27	35.65
18.59	28.22	17.35
15.1	8.9	29.19
23.45	13.29	21.45
19.86	19.71	19.01
25.81	12.87	31.95
26.49	31.21	16.96
20.01	17.3	20.01
23.52	19.24	31.29
19.26	11.93	24.52
19.45	19.8	33.07
20.92	15.56	33.46
25.46	20.78	18.13
26.75	21.8	20.35
16.2	28.93	22.72
21.33	20.79	17.96
39.94	14.54	19.01
20.85	23.02	16.58
13.34	17	23.96
15.38	7.43	23.45
24.67	19.3	33.25
17.39	19.58	30.9
18.06	18.59	24.27
23.75	20.38	26.26
17.46	24.28	12.61
30.37	22.81	20.88
16.24	13.61	19.62
18.89	14.68	13.48
21.95	30.91	18.52
22.09	29.4	19.89
28.76	20.68	19.93
16.27	8.02	22.75
29.54	23.44	10.28
17.01	18.51	20.61
17.26	9.2	27.41
22.4	19.5	25.44
14.42	17.13	24.13
14.57	27.14	10.14
20.01	25.05	17.98
24.64	34.06	3.24
18.93	27.25	23.4
27.2	21.04	12.77
15.42	28.69	19.08
22.19	19.33	25.25
13.45	26.14	20.64
27.6	17.38	25.8
17.45	22.18	19.99
19.4	32.93	31.44
20.84	23.89	20.24
16.32	20.24	22.43
24.09	23.34	26.78
28.87	15.89	29.12
28.5	21.15	24.21
18.99	22.93	26.26
15.01	27.08	14.02
27.25	22.16	30.58
24.05	30.95	14.28
18.13	14.8	24.77
18.77	14.09	18.61
17.29	22.33	19.74
18.06	15.73	19.97
20.06	30.12	23.43
19.61	19.28	22.58
18.22	22.93	36.04
20.93	20.63	12.76
19.62	22.23	25.5
14.54	17.83	28.51
24.19	17.12	13.15
17.99	12.7	25.38
32.57	40.27	19.63
24.94	33.73	10.79
26.9	29.33	11.72
23.75	20.44	20.88
15.04	18.38	18.85
34.64	20.94	28.92
15.36	22.4	23.45
15.52	22.8	19.75
13.94	24.38	20.16
35.02	23.55	16.45
15.14	23.32	30.6
20.6	11.26	29.42
33.69	23.93	19.33
17.35	19.63	26.05
20.4	15.88	13.52
16.18	27.65	7.29
29.13	19	29.75
14.24	17.55	13.53
17.49	19.18	23.68
24.1	26.06	23.3
13.01	29.3	35.49
50.47	30.57	19.27
25.18	29.7	15.81
22.93	21.15	27.13
17.83	30.2	17.5
14.03	19.39	19.89
15.08	22.73	24.89
14.02	12.47	17.5
25.76	14.05	20.16
32.13	16.52	14.56
26.01	13.89	20.32
14	35.28	13.96
24.94	19.28	22.18
20.84	30.83	21.33
22.6	16.83	28.18
19.34	19.37	13.1
21.68	33.44	17.38
27	18.5	3.95
15.27	33.38	11.95
24.62	35.57	18.24
30.43	19.43	24.55
28.49	25.27	12.68
20.64	30.21	15.37
13.8	29.15	20.81
28.16	19.4	19.15
21.38	31.85	21.51
21.91	7.63	27.86
18.04	10.49	19.47
